city,sku_code,sku_name,quantity,as_of_date
Ahmedabad,MWBWPCK.0002.B0_N,BB Mobile Box,8000,31-05-2026
Ahmedabad,MWBWPCK.0005.B0_N,BB medium (Gummies) Box,600,31-05-2026
Ahmedabad,MWBWPCK.0001.B0_N,BW Cake Box,800,31-05-2026
Ahmedabad,MWBWPCK.0006.B0_N,BW Kit Box,280,31-05-2026
Ahmedabad,MWBWPCK.0003.B0_N,BW White cake box bag,2100,31-05-2026
Ahmedabad,MWBWPCK.0004.B0_N,BW White mobile box bags,8000,31-05-2026
Ahmedabad,MWLJPCK.0004.B0_N,Gummies box bags (9*12+2),5720,31-05-2026
Ahmedabad,MWLJPCK.0001.B0_N,LJ Cake Box,2800,31-05-2026
Ahmedabad,MWLJPCK.0006.B0_N,LJ Kit Box,6000,31-05-2026
Ahmedabad,MWLJPCK.0005.B0_N,LJ New Gummies 30's BOX,4300,31-05-2026
Ahmedabad,MWLJPCK.0002.B0_N,LJ medium (gummies) box,5000,31-05-2026
Ahmedabad,MWMMPCK.0002.AAAA.B0_N,MM Cake Box,380,31-05-2026
Ahmedabad,MWMMPCK.0005.AAAA.B0_N,MM Cake Box Bags (Printed),600,31-05-2026
Ahmedabad,MWMMPCK.0006.AAAA.B0_N,MM Essential Kit Box Bags,1200,31-05-2026
Ahmedabad,MWMMPCK.0001.AAAA.B0_N,MM Kit Box,0,31-05-2026
Ahmedabad,MWMMPCK.0003.AAAA.B0_N,MM Mobile Box,500,31-05-2026
Ahmedabad,MWMMPCK.0008.AAAA.B0_N,MM Mobile Box Bags (Printed),500,31-05-2026
Ahmedabad,MWMMPCK.0007.AAAA.B0_N,MM Sexual Box Bags,900,31-05-2026
Ahmedabad,MWMMPCK.0004.AAAA.B0_N,MM Sexual wellness Box,230,31-05-2026
Ahmedabad,MWMMPCK.0009.AAAA.B0_N,MM medium (Gummies) Box,1700,31-05-2026
Ahmedabad,OWNAPP.0003,OuterBox Pack of 1,0,31-05-2026
Ahmedabad,OWNAPP.0002,OuterBox Pack of 2,0,31-05-2026
Ahmedabad,POIGN44,Transparent Tape,130,31-05-2026
Ahmedabad,MWLJPCK.0008.B0_N,White Bulk Box Medium,280,31-05-2026
Ahmedabad,MWMMPCK.0010.AAAA.B0_N,White bulk box,40,31-05-2026
Bangalore,MWBWPCK.0002.B0_N,BB Mobile Box,1000,31-05-2026
Bangalore,MWBWPCK.0005.B0_N,BB medium (Gummies) Box,2800,31-05-2026
